High-school Track,R,I,A,S,E,C,Skills,Courses and Certificates,Work Style,Passion and Goals,Faculty,Typical Degree,Program/Major,Primary Campus
General Science,True,True,False,False,True,True,"Mathematics, AutoCAD, English, Microsoft Office","Dynamics, Statics, that Workshop","Hands-on/Field, Office/Data","buildings, to build",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,True,"Physics, Project Management, English","Construction Materials, TOEFL",Hands-on/Field,"design, career",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,True,False,True,True,"Physics, Project Management, AutoCAD, Mathematics, French","Dynamics, Summer Program",Hands-on/Field,"design, to create",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,True,"Project Management, AutoCAD, Physics, Mathematics, French","Dynamics, Construction Materials, ICDL","Hands-on/Field, Office/Data","design, to build",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,True,True,"Mathematics, Physics, Project Management, AutoCAD, Time Management","Construction Materials, Statics, IELTS",Hands-on/Field,"infrastructure, to lead",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,False,False,"Project Management, Mathematics, Physics, Arabic","Construction Materials, ICDL",Hands-on/Field,"buildings, to help people",Faculty of Engineering,BE,Civil Engineering,Fanar/Hadath/Roumieh/Ras Maska
General Science,True,True,False,False,False,True,"Programming, Circuit Analysis, Problem Solving, Research, Time Management","Circuit Theory, Summer Program",Lab/Research,"power grids, to create",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,True,False,False,False,"Circuit Analysis, Problem Solving, Programming, Physics, Communication, Microsoft Office","Embedded Systems, service Workshop","Lab/Research, Hands-on/Field","technology, to help people",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,True,False,False,"Circuit Analysis, Programming, Physics, English, Research","Circuit Theory, TOEFL","Lab/Research, Hands-on/Field","innovation, to innovate",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,False,False,False,False,False,"Physics, Mathematics, Problem Solving, Arabic","Power Systems, TOEFL","Lab/Research, Hands-on/Field","electronics, to innovate",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,False,False,False,"Electronics, Physics, Circuit Analysis, Research, French","Embedded Systems, hand Workshop",Lab/Research,"innovation, to innovate",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,False,False,True,"Problem Solving, Mathematics, Programming, Physics, Research","Circuit Theory, TOEFL",Lab/Research,"robotics, to understand",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,False,True,False,"Problem Solving, Mathematics, Electronics, Physics, English","Circuit Theory, Embedded Systems, TOEFL",Lab/Research,"renewable energy, to innovate",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,False,True,False,False,False,False,"Physics, Programming, English","Power Systems, Control Systems, TOEFL",Lab/Research,"power grids, to innovate",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,False,False,False,"Problem Solving, Physics, Programming, Circuit Analysis, Arabic, Time Management","Control Systems, Circuit Theory, Summer Program",Lab/Research,"technology, to understand",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,False,True,False,False,False,False,"Mathematics, Electronics, Physics, Circuit Analysis, Arabic, Communication","Embedded Systems, Power Systems, First Aid","Lab/Research, Hands-on/Field","electronics, to help people",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,False,False,False,"Problem Solving, Circuit Analysis, Communication","Control Systems, arrive Workshop",Lab/Research,"technology, to research",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,False,False,False,"Physics, Programming, Electronics, Arabic","Embedded Systems, economy Workshop",Lab/Research,"renewable energy, to build",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,False,False,False,False,False,"Problem Solving, Physics, Circuit Analysis, Microsoft Office, French","Power Systems, ICDL","Lab/Research, Hands-on/Field","technology, to research",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,True,False,False,"Mathematics, Programming, Circuit Analysis, Arabic","Embedded Systems, Control Systems, TOEFL",Lab/Research,"electronics, to innovate",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,True,False,True,False,"Programming, Physics, Communication, English","Control Systems, TOEFL",Lab/Research,"technology, to lead",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,True,False,False,"Programming, Problem Solving, Physics, Electronics, Microsoft Office, English","Embedded Systems, Power Systems, whatever Workshop",Lab/Research,"renewable energy, to innovate",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,False,False,False,False,"Programming, Mathematics, Circuit Analysis, Arabic","Digital Electronics, Embedded Systems, TOEFL",Lab/Research,"electronics, to help people",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,True,True,True,False,False,False,"Problem Solving, Mathematics, Physics, Programming, Microsoft Office","Embedded Systems, Circuit Theory, TOEFL","Lab/Research, Hands-on/Field","technology, to understand",Faculty of Engineering,BE,Electrical & Electronics / Power,Varies
General Science,False,True,False,False,False,True,"Telecommunications, Mathematics, Programming, Communication, Research","Wireless Systems, Network Security, Summer Program",Office/Data,"technology, to innovate",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Networking, Telecommunications, Signal Processing, Mathematics, Time Management","Programming, TOEFL",Office/Data,"networking, to build",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,False,"Programming, Networking, Telecommunications, Microsoft Office, English","Programming, Wireless Systems, First Aid",Office/Data,"data transmission, to research",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Problem Solving, Programming, Networking, Microsoft Office, Arabic","Wireless Systems, Network Security, Summer Program",Office/Data,"cybersecurity, to build",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Mathematics, Networking, Programming, Communication","Wireless Systems, ICDL","Office/Data, Lab/Research","cybersecurity, to lead",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Problem Solving, Networking, Communication","Programming, Digital Signal Processing, Summer Program",Office/Data,"telecom, to research",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,False,False,False,False,True,"Signal Processing, Problem Solving, Telecommunications, English","Network Security, Digital Signal Processing, Summer Program",Office/Data,"networking, to help people",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,True,"Networking, Signal Processing, Problem Solving, Time Management","Wireless Systems, TOEFL",Office/Data,"internet of things, to lead",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Mathematics, Signal Processing, French","Digital Signal Processing, Wireless Systems, ICDL",Office/Data,"networking, to lead",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Signal Processing, Problem Solving, Telecommunications, Mathematics, Research","Wireless Systems, Programming, Summer Program",Office/Data,"telecom, to research",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,True,False,True,"Mathematics, Problem Solving, Signal Processing, Networking, Arabic, Research","Data Communication, response Workshop","Office/Data, Lab/Research","cybersecurity, to build",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,False,False,False,False,True,"Telecommunications, Problem Solving, Time Management","Programming, TOEFL",Office/Data,"data transmission, to lead",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Telecommunications, Signal Processing, Networking, Programming, French, English","Network Security, ICDL",Office/Data,"networking, to research",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Signal Processing, Problem Solving, French","Data Communication, IELTS",Office/Data,"telecom, to build",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,False,"Mathematics, Signal Processing, Networking, Microsoft Office, English","Network Security, Wireless Systems, TOEFL",Office/Data,"cybersecurity, to build",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,True,"Telecommunications, Mathematics, Problem Solving, French","Wireless Systems, Programming, when Workshop","Office/Data, Lab/Research","technology, to create",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Telecommunications, Networking, French","Digital Signal Processing, IELTS","Office/Data, Lab/Research","internet of things, to understand",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Programming, Telecommunications, Communication","Digital Signal Processing, Network Security, ICDL","Office/Data, Lab/Research","telecom, to understand",Faculty of Engineering,BE,Computer & Communications Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,False,True,"Data Analysis, Project Management, Time Management, Microsoft Office","Simulation, Quality Control, thank Workshop",Office/Data,"optimization, to research",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,False,False,False,True,True,"Process Optimization, Logistics, Project Management, Data Analysis, Communication, Research","Ergonomics, Quality Control, ICDL",Office/Data,"systems, to help people",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,False,"Process Optimization, Mathematics, Project Management, Arabic, Microsoft Office","Quality Control, Supply Chain Management, IELTS",Office/Data,"logistics, to research",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,False,"Mathematics, Process Optimization, Statistics, Logistics, English","Supply Chain Management, ICDL","Office/Data, Business","optimization, to research",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,False,"Statistics, Project Management, Data Analysis, Mathematics, Time Management","Ergonomics, Supply Chain Management, add Workshop",Office/Data,"efficiency, to understand",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,True,False,True,True,"Process Optimization, Statistics, Data Analysis, Project Management, Research, Time Management","Operations Research, Supply Chain Management, Summer Program",Office/Data,"logistics, to lead",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,True,"Mathematics, Statistics, Data Analysis, Logistics, Time Management","Simulation, Operations Research, Summer Program",Office/Data,"efficiency, to innovate",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,True,"Project Management, Process Optimization, English","Operations Research, TOEFL",Office/Data,"optimization, to create",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,False,"Data Analysis, Statistics, Research, Time Management","Supply Chain Management, Ergonomics, First Aid",Office/Data,"optimization, to understand",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,True,"Mathematics, Statistics, Data Analysis, English, Time Management","Operations Research, Quality Control, IELTS",Office/Data,"optimization, to help people",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,True,"Mathematics, Data Analysis, Arabic, Research","Simulation, Ergonomics, First Aid",Office/Data,"optimization, to lead",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,True,False,True,"Data Analysis, Project Management, Process Optimization, Mathematics, Microsoft Office","Ergonomics, First Aid",Office/Data,"systems, to research",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,True,True,False,False,True,True,"Logistics, Statistics, Mathematics, Arabic, English","Simulation, Quality Control, ICDL","Office/Data, Business","productivity, to research",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,True,"Data Analysis, Mathematics, Logistics, Time Management","Operations Research, ICDL",Office/Data,"systems, to create",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,False,False,True,False,"Logistics, Process Optimization, Data Analysis, Statistics, Microsoft Office","Supply Chain Management, Summer Program",Office/Data,"efficiency, to create",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,True,True,False,False,True,True,"Project Management, Logistics, Time Management, English","Quality Control, Simulation, TOEFL",Office/Data,"optimization, to help people",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,False,False,False,True,True,"Data Analysis, Mathematics, Statistics, Research","Supply Chain Management, TOEFL","Office/Data, Business","efficiency, to innovate",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,False,False,False,True,False,"Mathematics, Statistics, French, Time Management","Operations Research, Simulation, ICDL","Office/Data, Business","logistics, to help people",Faculty of Engineering,BE,Industrial Engineering,Roumieh/Fanar/Hadath/Ras Maska
General Science,False,True,True,False,False,False,"Creative Thinking, Spatial Awareness, Research","Architectural Design, Urban Design, First Aid",Creative/Design,"urban environments, to innovate",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"Spatial Awareness, Creative Thinking, Time Management, Communication","Urban Design, TOEFL",Creative/Design,"design, to understand",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,True,True,False,False,False,False,"AutoCAD, 3D Modeling, Drawing, Design, French, Communication","Architectural Design, Urban Design, Summer Program",Creative/Design,"buildings, career",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,True,"Design, Spatial Awareness, Drawing, Research","Building Technology, Architectural Design, TOEFL",Creative/Design,"buildings, career",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"Spatial Awareness, Drawing, AutoCAD, 3D Modeling, Microsoft Office, Communication","Architectural Design, Sketching, IELTS","Creative/Design, Office/Data","buildings, to create",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"3D Modeling, Creative Thinking, Drawing, Spatial Awareness, English","Sketching, ask Workshop","Creative/Design, Office/Data","creative spaces, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"Creative Thinking, Drawing, English","Building Technology, Sketching, TOEFL","Creative/Design, Office/Data","design, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"Design, Creative Thinking, Drawing, Communication","Urban Design, help Workshop",Creative/Design,"urban environments, to understand",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"Drawing, Spatial Awareness, Creative Thinking, Design, Arabic","Architectural Design, IELTS",Creative/Design,"art, to create",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,True,False,"Spatial Awareness, Design, 3D Modeling, English","Building Technology, TOEFL","Creative/Design, Office/Data","urban environments, to understand",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,False,False,False,False,"Design, Creative Thinking, AutoCAD, Drawing, English, Communication","Sketching, History of Architecture, First Aid",Creative/Design,"design, career",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,False,False,False,False,"AutoCAD, Design, Research","Sketching, IELTS",Creative/Design,"sustainability, to help people",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"AutoCAD, Creative Thinking, Time Management, French","Architectural Design, IELTS",Creative/Design,"design, to innovate",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"Drawing, Creative Thinking, Spatial Awareness, Research, French","Sketching, History of Architecture, ICDL",Creative/Design,"sustainability, to understand",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"Creative Thinking, AutoCAD, Time Management","Urban Design, by Workshop",Creative/Design,"art, to create",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,True,True,"Spatial Awareness, Design, AutoCAD, 3D Modeling, French, English","Architectural Design, Sketching, ICDL",Creative/Design,"design, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"Drawing, Creative Thinking, Communication, French","Sketching, Architectural Design, IELTS","Creative/Design, Office/Data","creative spaces, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
General Science,False,True,True,False,False,False,"Drawing, AutoCAD, Design, Communication, Arabic","Architectural Design, TOEFL",Creative/Design,"sustainability, career",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Architecture,Multiple branches
Arts and Humanities,False,False,False,False,False,False,"Space Planning, Design, Communication","History of Design, Furniture Design, area Workshop",Creative/Design,"living spaces, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"3D Modeling, Space Planning, Drawing, Communication, French","Interior Materials, History of Design, Summer Program",Creative/Design,"home design, to innovate",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Color Theory, Drawing, Arabic, Microsoft Office","Presentation Techniques, History of Design, ICDL",Creative/Design,"home design, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"3D Modeling, Design, Drawing, French","Lighting Design, Furniture Design, ICDL",Creative/Design,"creative environments, to create",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Drawing, Color Theory, 3D Modeling, Communication","Interior Materials, Furniture Design, First Aid",Creative/Design,"aesthetics, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,True,True,True,True,False,"AutoCAD, 3D Modeling, Microsoft Office, Research","Lighting Design, Presentation Techniques, finish Workshop",Creative/Design,"functionality, to build",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"AutoCAD, Space Planning, Design, 3D Modeling, French","Furniture Design, drive Workshop",Creative/Design,"home design, to create",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"AutoCAD, Design, 3D Modeling, Microsoft Office, Research","Furniture Design, Interior Materials, Summer Program",Creative/Design,"functionality, career",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Design, Space Planning, AutoCAD, Microsoft Office, French","Lighting Design, TOEFL",Creative/Design,"decor, to lead",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Drawing, AutoCAD, English","History of Design, Lighting Design, ICDL",Creative/Design,"aesthetics, to research",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Color Theory, AutoCAD, French, Communication","Furniture Design, TOEFL",Creative/Design,"living spaces, career",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,True,False,False,"Space Planning, AutoCAD, 3D Modeling, Design, Communication","Presentation Techniques, Summer Program",Creative/Design,"home design, to innovate",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"3D Modeling, AutoCAD, Color Theory, Space Planning, English, Microsoft Office","Presentation Techniques, Interior Materials, Summer Program",Creative/Design,"creative environments, to understand",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
Arts and Humanities,False,False,True,False,False,False,"Space Planning, AutoCAD, Drawing, 3D Modeling, Arabic","Lighting Design, Furniture Design, ICDL",Creative/Design,"home design, to understand",Faculty of Fine Arts and Architecture,"BA/BS, MA/MS",Interior Design,Multiple branches
